P2,P1,Time
1,1,12066647
2,1,13338340
3,1,10321710
4,1,10652572
5,1,10246215
6,1,11782360
7,1,12980346
8,1,10323003
9,1,9924189
10,1,12937156
11,1,11262137
12,1,22467113
13,1,11868189
14,1,12023730
15,1,10955671
16,1,12645586
17,1,13407736
18,1,28572953
19,1,10383969
20,1,11266053
21,1,8352987
22,1,9889371
23,1,11823403
24,1,14380909
25,1,9039133
26,1,15609034
27,1,9757619
28,1,12575887
29,1,9698723
30,1,10845980
40,1,9885953
50,1,11619229
60,1,11972054
70,1,10329517
80,1,11758104
90,1,11419753
100,1,26450714
200,1,20672681
1,2,23092678
2,2,16299329
3,2,25506059
4,2,17209045
5,2,21189609
6,2,16057496
7,2,20049607
8,2,15395101
9,2,17133122
10,2,12372187
11,2,13775215
12,2,17224324
13,2,13888649
14,2,15441549
15,2,14609290
16,2,16106245
17,2,10906867
18,2,11983626
19,2,12760449
20,2,8831150
21,2,12829998
22,2,12504051
23,2,12384351
24,2,8825314
25,2,10922436
26,2,9790376
27,2,17165431
28,2,25232303
29,2,20163379
30,2,27097370
40,2,23101495
50,2,24917874
60,2,27930455
70,2,21702408
80,2,11479511
90,2,15082527
100,2,10567233
200,2,13666646
1,3,11929586
2,3,11881572
3,3,9879256
4,3,10786347
5,3,10194499
6,3,12139751
7,3,10492157
8,3,10348749
9,3,10746312
10,3,9685259
11,3,13802880
12,3,9280706
13,3,11681684
14,3,9497612
15,3,14309572
16,3,9722698
17,3,12412747
18,3,14392317
19,3,9415351
20,3,11586117
21,3,30936819
22,3,22013479
23,3,28909530
24,3,19801486
25,3,27098995
26,3,21674507
27,3,19993109
28,3,9862870
29,3,11509268
30,3,10191537
40,3,9490508
50,3,12455348
60,3,12660254
70,3,8063698
80,3,10230987
90,3,11182154
100,3,11630721
200,3,7956664
1,4,16663350
2,4,7724814
3,4,16009856
4,4,14210521
5,4,10483268
6,4,13064569
7,4,11899282
8,4,14748446
9,4,9749664
10,4,11631562
11,4,9908159
12,4,12131161
13,4,15390345
