Size,Time
5,5654094
5,4668895
5,4435545
5,4354837
5,4547864
5,4475460
5,4835070
5,4770665
5,4371960
5,4262871
5,4497434
5,4612472
5,4653108
5,4589785
5,4660907
5,4441966
5,4410397
5,4483240
5,7154130
5,8812973
5,4436793
5,4420916
5,4442469
5,6656313
5,4525630
5,4788859
5,4590636
5,4606696
5,4647811
5,4672731
5,4630059
5,4354640
5,4418929
5,4484417
5,4647982
5,5430329
5,4602635
5,4786273
5,4529870
5,4555885
5,4576239
5,4771016
5,4712129
5,4632580
5,4410079
5,4460155
5,4741643
5,4762107
5,4624225
5,4789323
5,4697776
5,4638801
5,4449804
5,4672828
5,4675635
5,4464924
5,4371499
5,4511377
5,4734644
5,4618606
5,4640450
5,4516850
5,4346786
5,4454777
5,4469718
5,4704407
5,5439885
5,4417181
5,4612775
5,9372507
5,4531830
5,4400833
5,4631529
5,6707285
5,4770838
5,5070882
5,8555953
5,4424809
5,8723752
5,4757914
5,4449673
5,4559742
5,4559646
5,4670035
5,4689030
5,4759386
5,4720147
5,5411291
5,4529259
5,4459441
5,8815291
5,4779307
5,4272894
5,4377891
5,4555671
5,4705833
5,4868249
5,4741558
5,6659974
5,4441145
5,8146230
5,4872985
5,5108707
5,6875384
5,4516556
5,4489203
5,4447530
5,4554104
5,8549461
5,4651652
5,5769824
5,5688469
5,4599697
5,4398023
5,4530927
5,4603111
5,5574595
5,4609337
5,4442806
5,4421727
5,4494506
5,4664252
5,5324957
5,4789143
5,4637878
5,5076494
5,4656381
5,4592947
5,4665853
5,4781497
5,4561214
5,5296710
5,4766729
5,4454590
5,4643246
5,4881822
5,4808004
5,4610252
5,4628183
5,7022183
5,4832185
5,4749527
5,8810651
5,4279372
5,7396493
5,4605502
5,4472251
5,4425394
5,4561296
5,6346905
5,5079207
5,4853355
5,8599489
5,4651765
5,4808011
5,4408603
5,4578237
5,5614471
5,4573705
5,4881282
5,4579445
5,4522152
5,4569580
5,6643501
5,4761695
5,5056029
5,4631163
5,4615333
5,4663892
5,4726011
5,4834316
5,4783907
5,4712725
5,4822149
5,4470966
5,4948896
5,5052512
5,4650631
5,4561264
5,4519729
5,8520612
5,5849314
5,8573727
5,7067090
5,22410067
5,4869375
5,4506679
5,13603768
5,7944926
5,4568727
5,5733558
5,4789313
5,4773931
5,4358665
5,4447144
5,4585464
5,4837561
5,4597852
5,4740126
5,4718979
5,4912664
5,5294365
5,4674741
5,4549030
5,4562761
5,4699947
5,8343018
5,8506441
5,4579599
5,14888167
5,19446147
5,14886811
5,15290507
5,22805891
5,3880913
5,17336745
5,23030942
5,22966959
5,23048114
5,23129190
5,22382420
5,23267698
5,22675299
5,23040958
5,23061410
5,22994762
5,4708796
5,17293261
5,22790081
5,23012558
5,23157088
5,14981136
5,15039692
5,4618478
5,17063880
5,15217479
5,4431578
5,17680271
5,14908728
5,15195463
5,14843160
5,15208630
5,14619672
5,14692003
5,15970646
5,46541107
5,295182551
5,397699284
5,13740811
5,13695073
5,15247911
5,14951998
5,5928551
5,24120186
5,14753513
5,22682727
5,4368013
5,17056754
5,5420800
5,8955596
5,4390230
5,4445800
5,4395345
5,5332025
5,4485288
5,4423176
5,4839261
5,4582692
5,4655586
5,4608106
5,5883484
5,4626182
5,4580770
5,6352303
5,4607130
5,5782169
5,4566993
5,4601357
5,4416115
5,4611317
5,4662690
5,4725138
5,4823928
5,5159326
5,4554951
5,4623151
5,4711767
5,4580446
5,4665182
5,4811223
5,4724742
5,4268802
5,4221415
5,4428017
5,4500709
5,4901320
5,4654808
5,4711815
5,4807812
5,5154839
5,5457091
5,4316280
5,4454648
5,4514855
5,4842837
5,4754196
5,4731082
5,4289952
5,4585811
5,4709658
5,8453545
5,4327562
5,4281013
5,4516062
5,4974961
5,4829873
5,4523040
5,4991674
5,4428585
5,4501649
5,4653584
5,8472019
5,4746431
5,4602634
5,4400135
5,5340910
5,14271369
5,4538594
5,4663366
5,4553846
5,4584223
5,4843701
5,4944711
5,4413353
5,4504170
5,4807976
5,6186796
5,4875404
5,4776135
5,4449252
5,4731678
5,4816730
5,4827816
5,4860285
5,4814785
5,4504381
5,4516186
5,4649559
5,10327898
5,4772784
5,5109688
5,4618340
5,4832809
5,5785818
5,5122453
5,4335232
5,4638535
5,4733419
5,4814035
5,8489824
5,4480463
5,4608017
5,4657337
5,4597423
5,4722737
5,4621107
5,4441261
5,4783036
5,6539325
5,5368969
5,4920886
5,4764983
5,4683603
5,7986326
5,8875455
5,4784570
5,4864495
5,4615288
5,7420377
5,4565451
5,4607987
5,7874781
5,4855891
5,4712933
5,5000900
5,4560445
5,4217201
5,4590284
5,6282805
5,8258208
5,8243057
5,4528701
5,4531370
5,12444336
5,4446893
5,4399586
5,4544570
5,4836799
5,5213703
5,4917706
5,19057121
5,9008024
5,4741193
5,4323759
5,4589616
5,4485713
5,9280483
5,4632652
5,4448401
5,4451039
5,4703114
5,5643608
5,8342130
5,7129074
5,8788473
5,7519753
5,4690629
5,4225996
5,4420952
5,4540880
5,4444663
5,4691143
5,4773204
5,4637025
5,4513092
5,5074323
5,4573927
5,4803201
5,4427531
5,4243714
5,4712146
5,4833832
5,4592470
5,5020559
5,4619789
5,4392430
5,4463416
5,4570030
5,7512307
5,4890071
5,4567548
5,7423076
5,5090096
5,6936535
5,4589755
5,4543318
5,4513860
5,4703865
5,4500047
5,4335312
5,4730693
5,4910390
5,4651059
5,4671502
5,4590300
5,4459145
5,4508565
5,4883891
5,4620072
5,4593642
5,4631378
5,4354966
5,4573690
5,4608138
5,5229929
5,5124665
5,4816987
5,4663698
5,4846459
5,4669437
5,8116669
5,4688042
5,4759649
5,4738340
5,4413281
5,4523348
5,4656478
5,35781287
5,17401816
5,15022129
5,14990608
5,23060319
5,15055919
5,15103090
5,15141853
5,14937092
5,14981948
5,15050478
5,14926927
5,15172322
5,15001572
5,15158484
5,4727089
5,4750254
5,19300535
5,4605303
5,17556893
5,14970477
5,14983695
5,23375628
5,18040439
5,19650666
5,22922557
5,23154343
5,23050848
5,17030187
5,21304004
5,22805059
5,22999169
5,23040265
5,4596127
5,17359253
5,22772236
5,23012121
5,4389380
5,17686448
5,4360175
5,17683755
5,15064797
5,23069604
5,21852844
5,21271612
5,21992176
5,13504780
5,14060373
5,13749652
5,7469230
5,20461127
5,13623826
5,14040058
5,14303155
5,21377934
5,15645328
5,20197322
5,13932011
5,21814538
5,14287957
5,15699062
5,21964632
5,14642272
5,4402987
5,17868181
5,15061833
5,15369655
5,4743603
5,17137293
5,23056728
5,4503026
5,17225236
5,22734327
5,15049588
5,18814574
5,19418753
5,23062654
5,15758981
5,23082802
5,22361328
5,22905478
5,22725014
5,23129745
5,22929788
5,23177461
5,18409453
5,19677655
5,23077879
5,22909627
5,23125341
5,23179759
5,22806369
5,15015082
5,15385036
5,14877973
5,15095479
5,15229180
5,15253600
5,14801549
5,15181644
5,15019937
5,22599168
5,15082370
5,4546055
5,17623104
5,15715790
5,22323079
5,14972925
5,15299112
5,15010218
5,14693569
5,14247845
5,15737234
5,15159436
5,21712886
5,15056922
5,15009877
5,15131573
5,14964676
5,15055886
5,15145823
5,6835832
5,4662028
5,4909363
5,19911586
5,23121473
5,22569056
5,21291294
5,17612738
5,23217634
5,23436129
5,21710817
5,23008350
5,23004047
5,22713254
5,23032128
5,23165314
5,10624064
5,16476556
5,21717714
5,20122292
5,16777643
5,18510093
5,15870313
5,21188992
5,21829879
5,13731101
5,13583335
5,29814015
5,1217788823
5,1348223560
5,7718781
5,20861132
5,15240146
5,14819338
5,15230170
5,15364140
5,15280917
5,22006698
5,22771288
5,4408893
5,18225909
5,23162807
5,15146707
5,22434350
5,23107189
5,22932972
5,15504520
5,17744094
5,19542355
5,22915505
5,23277504
5,22670254
5,22567885
5,15256118
5,22243326
5,22153151
5,14884476
5,22100741
5,14747856
5,14017226
5,14354208
5,18269616
5,15360678
5,17876095
5,14921485
5,14514951
5,14591560
5,14529943
5,14638068
5,15261818
5,21236995
5,14649881
5,14264815
5,14810483
5,14252889
5,14458087
5,14456335
5,14796420
5,22691885
5,14575469
5,14366591
5,14441014
5,14357569
5,14343629
5,22521519
5,22332693
5,14833127
5,8274116
5,20696607
5,22745253
5,22579148
5,22610988
5,22264271
5,22415991
5,22753176
5,22372312
5,22567356
5,22096165
5,22402275
5,22609873
5,22182590
5,22101057
5,22490123
5,22724781
5,22387865
5,22436497
5,14630445
5,14481181
5,14733454
5,14377804
5,14532285
5,14180834
5,14741418
5,14295290
5,4950641
5,4949732
5,17154059
5,15193470
5,7874086
5,402499210
5,7960769
5,10027349
5,4528351
5,484146841
5,697060683
5,135359733
5,9514246
5,7684798
5,4889989
5,4320748
5,4588236
5,4430779
5,10084432
5,7899415
5,4177641
5,4502468
5,6475916
5,6010082
5,4771820
5,4412038
5,4642106
5,4663959
5,5448255
5,4296053
5,4375419
5,8438000
5,4509734
5,4170644
5,6491392
5,4671528
5,4302282
5,6390503
10,22763437
10,23017674
10,23110319
10,14935501
10,22774969
10,22915397
10,14808975
10,16072097
10,22599278
10,22691864
10,14732586
10,22770774
10,14885261
10,14981613
10,14790753
10,14747508
10,14827640
10,15146844
10,14850545
10,23020789
10,6316194
10,15602731
10,14911170
10,14891077
10,14853569
10,14908439
10,14758740
10,14952774
10,8052296
10,21695637
10,23978713
10,46500312
10,15558388
10,406849230
10,1356134672
10,17403930
10,7039264
10,20330129
10,253268133
10,16021989
10,21881481
10,22757574
10,22467687
10,15435652
10,22551767
10,23356045
10,22956205
10,22998270
10,23389493
10,22980953
10,22968908
10,16625623
10,21209371
10,23077792
10,22856992
10,22870779
10,15221197
10,14322885
10,14835320
10,14888491
10,14661968
10,14917303
10,14721015
10,15189308
10,14779325
10,14989369
10,14802364
10,14953509
10,14786028
10,14946208
10,14887593
10,14834516
10,14900418
10,23150497
10,22753097
10,14862287
10,14896477
10,15846879
10,22785685
10,22513024
10,22705855
10,14932489
10,22796299
10,14857354
10,60806662
10,17108581
10,22861997
10,23014945
10,22988264
10,22645919
10,22670713
10,23007411
10,23310769
10,22033664
10,9456622
10,19899269
10,22788685
10,23011374
10,23975783
10,22096492
10,22655835
10,6084065
10,16088415
10,23040655
10,15169886
10,15294578
10,9863879
10,20412071
10,14359245
10,15295204
10,14388774
10,27634689
10,18011480
10,15056699
10,14919802
10,23025290
10,15227328
10,15303013
10,16024786
10,16613750
10,21456610
10,14576257
10,16855247
10,21492809
10,23489805
10,21330277
10,15966982
10,22006893
10,15323968
10,25364475
10,18508516
10,18775298
10,18753141
10,17954256
10,22842848
10,19777388
10,15081007
10,23118521
10,23120113
10,23094290
10,23243818
10,22072051
10,22980470
10,23151168
10,23660922
10,18236703
10,15160180
10,18307425
10,21599429
10,16315618
10,19580780
10,19697085
10,18378437
10,18568576
10,22762151
10,14940110
10,15004833
10,14987780
10,15816561
10,22215551
10,15019912
10,15106147
10,14729408
10,14878425
10,15298126
10,14783839
10,15056386
10,15044746
10,14970962
10,15139872
10,14805998
10,15027859
10,15502918
10,16639957
10,21096129
10,21840438
10,24850157
10,20095764
10,20169957
10,22020250
10,21885465
10,7376623
10,37795297
10,22427175
10,671777388
10,779546087
10,18227823
10,267098457
10,9312000
10,7567177
10,15125849
10,14963567
10,15018656
10,22700181
10,6393713
10,15527133
10,14720176
10,14928475
10,23214377
10,14646289
10,15274601
10,7332426
10,22782758
10,23053537
10,22024556
10,14821884
10,6330714
10,23930573
10,22794300
10,14850276
10,22866568
10,9633306
10,20575937
10,23046034
10,23071161
10,24046305
10,17500221
10,19293536
10,22955891
10,23013877
10,226525516
10,13339077
10,22717705
10,19334457
10,14929857
10,15037213
10,14709175
10,7373947
10,22341761
10,22950199
10,23054357
10,23196490
10,22914463
10,23101567
10,21905342
10,21119820
10,21733040
10,21672569
10,21628866
10,17268908
10,17416180
10,19085768
10,17948277
10,22890104
10,22543297
10,21239058
10,16597770
10,22809510
10,238209634
10,13816820
10,17897151
10,17366304
10,21513089
10,21127128
10,22079901
10,15412870
10,19573841
10,18376633
10,16766437
10,15347285
10,21338125
10,21117492
10,21595839
10,21926136
10,42724578
10,16445211
10,21924721
10,22146113
10,6821993
10,15686158
10,22798678
10,167490699
10,21024907
10,17725991
10,17074699
10,20877440
10,16107345
10,20117620
10,20597938
10,12658929
10,17175985
10,19466500
10,14066492
10,14971433
10,20899919
10,14832628
10,21206444
10,19889425
10,23950692
