P1,P2,Time
1,1,22894075
1,2,2752030
1,3,2722999
1,4,3890267
1,5,2774838
1,6,3834108
1,7,2784129
1,8,2703868
1,9,4005467
1,10,2736337
1,11,4076248
1,12,2678991
1,13,2802196
1,14,2878696
1,15,2735913
1,16,6822759
1,17,7568595
1,18,2700176
1,19,2866726
1,20,4105449
1,21,2766477
1,22,2723374
1,23,7596274
1,24,2708190
1,25,2756319
1,26,2718375
1,27,2821514
1,28,2736142
1,29,3879787
1,30,2659700
1,40,2785932
1,50,2677287
1,60,2792040
1,70,3944364
1,80,2876427
1,90,2816319
1,100,2768815
1,200,2664706
1,300,2781069
1,400,2707653
1,500,2827815
1,600,2789098
1,700,5085643
1,800,4018252
1,900,2835879
1,1000,3933844
1,2000,2804777
1,3000,2784242
1,4000,2798692
1,5000,2810518
1,6000,2784250
1,7000,2787363
1,8000,2790474
1,9000,6267960
1,10000,2686321
2,1,1934947
2,2,2175519
2,3,2503874
2,4,1918518
2,5,2007339
2,6,1996287
2,7,2059296
2,8,1979181
2,9,2362662
2,10,2058373
2,11,2391265
2,12,1955722
2,13,2191043
2,14,2050137
2,15,1975146
2,16,2014969
2,17,1946466
2,18,2212042
2,19,1970306
2,20,1988489
2,21,1854296
2,22,1977120
2,23,2005272
2,24,1988799
2,25,2045633
2,26,2012547
2,27,2187779
2,28,1977900
2,29,1923978
2,30,1996704
2,40,2056590
2,50,1956959
2,60,2645195
2,70,1975542
2,80,2213495
2,90,2083888
2,100,2088612
2,200,1987446
2,300,2043151
2,400,2539718
2,500,2256657
2,600,2541932
2,700,2040572
2,800,2148569
2,900,2114187
2,1000,2076166
2,2000,2626925
2,3000,2014641
2,4000,2070634
2,5000,2174839
2,6000,2031935
2,7000,2135949
2,8000,2487872
2,9000,2085334
2,10000,2101524
3,1,2038579
3,2,2605899
3,3,2031601
3,4,2120608
3,5,1997516
3,6,1963096
