P1,P2,Time
1,1,990565
1,2,1031394
1,3,990503
1,4,929805
1,5,1003494
1,6,990833
1,7,962080
1,8,1077982
1,9,958516
1,10,974110
1,11,1159282
1,12,1061680
1,13,955097
1,14,949281
1,15,955076
1,16,928422
1,17,1282165
1,18,933653
1,19,1186883
1,20,929459
1,21,1051334
1,22,923313
1,23,2730945
1,24,919866
1,25,971396
1,35,974274
1,45,969684
1,55,1012193
1,65,995739
1,75,954334
1,85,967729
1,95,966973
1,195,941875
1,295,992262
1,395,969498
1,495,1009564
1,595,967812
1,695,977091
1,795,933188
1,895,992078
1,995,986170
1,1995,1231624
2,1,506124
2,2,549570
2,3,565848
2,4,554234
2,5,520693
2,6,570529
2,7,559059
2,8,552305
2,9,599890
2,10,558854
2,11,483168
2,12,514393
2,13,552204
2,14,533695
2,15,551664
2,16,539195
2,17,542791
2,18,607354
2,19,539076
2,20,517000
2,21,557914
2,22,498209
2,23,577455
2,24,536915
2,25,497058
2,35,552320
2,45,531706
2,55,532642
2,65,700786
2,75,621592
2,85,545078
2,95,553660
2,195,596153
2,295,563904
2,395,549439
2,495,507822
2,595,571713
2,695,547809
2,795,576665
2,895,584097
2,995,526817
2,1995,529664
3,1,493055
3,2,432525
3,3,460597
3,4,481465
3,5,451955
3,6,451514
3,7,453251
3,8,458670
3,9,445338
3,10,479660
3,11,470783
3,12,507861
3,13,484661
3,14,472876
3,15,495141
3,16,497471
3,17,445760
3,18,490788
3,19,420881
3,20,455278
3,21,465154
3,22,510463
3,23,572912
3,24,457936
3,25,450453
3,35,497874
3,45,500235
3,55,473671
3,65,450108
3,75,459896
3,85,485093
3,95,480426
3,195,409026
3,295,421837
3,395,463061
3,495,472440
3,595,435721
3,695,918468
3,795,910471
3,895,458768
3,995,466581
3,1995,441148
4,1,448569
4,2,335194
4,3,502542
4,4,514963
4,5,617276
4,6,584073
4,7,340613
4,8,391914
4,9,318706
4,10,597596
4,11,340599
4,12,593805
4,13,338520
4,14,487895
4,15,610197
4,16,364980
4,17,347220
4,18,350888
4,19,575095
4,20,359865
