#(threads),time taken(in ns)
1,251216852
2,83156897
3,83310441
4,43769446
5,41415580
6,47988765
7,53106577
8,47269976
9,43088089
10,38668114
11,37194946
12,36731949
13,43666593
14,38156127
15,42451198
16,46173687
17,37047464
18,38264845
19,36955478
20,36190500
21,37022535
22,37926275
23,37594065
24,38112632
25,37450974
26,36492011
27,38026487
28,38109100
29,38383105
30,41814437
31,40958872
32,41533374
33,35877005
34,37399206
35,39185348
36,36265335
37,44625341
38,40343455
39,41213965
40,43406268
41,41150708
42,39828429
43,40218468
44,42367426
45,36288751
46,43336233
47,43315916
48,36970335
49,46252559
50,47997891
51,47327450
52,41065169
53,50141083
54,53650397
55,48404630
56,49336755
57,50199134
58,46649643
59,52998056
60,49473428
61,54874656
62,56563017
63,51093877
64,58435041
65,52760993
66,52503444
67,52164430
68,49685263
69,54504224
70,54852712
71,52554376
72,54008220
73,50795362
74,54112682
75,54044443
76,54214607
77,49561938
78,54106140
79,53308338
80,53367395
81,60894049
82,53123971
83,55589237
84,57193057
85,55707459
86,50355504
87,49492368
88,48877161
89,57365338
90,51018035
91,45683879
92,50475178
93,49339931
94,53146282
95,50405410
96,53061187
97,54752669
98,51453571
99,50112219
100,48108648
101,48867533
102,44421795
103,48810816
104,51708902
105,51256036
106,55360698
107,53716771
108,48587034
109,52207298
110,52692087
111,51869716
112,54239775
113,52507867
114,54155535
115,49956847
116,51734091
117,51227332
118,52561540
119,51613468
120,54711666
121,54017257
122,57029078
123,54434270
124,58972421
125,51993144
126,50977486
127,49905729
128,50370936
129,53352484
130,55077238
131,50542716
132,53388138
133,55041817
134,53510696
135,51074727
136,53423464
137,56154990
138,55480018
139,53700111
140,53718898
141,55007184
142,54234717
143,55243281
144,51515107
145,47894635
146,52951465
147,53762382
148,49856467
149,51701864
150,52879107
151,52495313
152,52558028
153,50365550
154,52188746
155,53260556
156,48255747
157,50804365
158,54335496
159,56303248
160,56832720
161,50287344
162,56316000
163,50698568
164,53527740
165,54219699
166,50583477
167,53549445
168,51004300
169,57828694
170,55927914
171,54853150
172,54657995
173,55362895
174,52110331
175,53524338
176,52270370
177,53155312
178,58055007
179,54637692
180,51432313
181,51288429
182,57405250
183,51220050
184,55272486
185,52917533
186,52272242
187,55050463
188,56632883
189,52304559
190,54324336
191,54443841
192,57754968
193,55971377
194,54088909
195,53788195
196,54533339
197,55771470
198,54297926
