#(threads) in P2,#(threads) in P1,time taken(in ns)
1,1,851888
2,1,780136
3,1,862036
4,1,643807
5,1,681073
6,1,704548
7,1,964631
8,1,1068265
9,1,872655
10,1,1462853
11,1,1241001
12,1,1013206
13,1,1050111
14,1,1560845
15,1,1592184
16,1,1281796
17,1,1104218
18,1,967894
19,1,932555
20,1,2376789
21,1,870040
22,1,1011064
23,1,2546190
24,1,1065319
25,1,1545211
1,2,1115248
2,2,1125448
3,2,1073929
4,2,1061522
5,2,816518
6,2,796285
7,2,805268
8,2,700317
9,2,779872
10,2,596280
11,2,569044
12,2,710235
13,2,581362
14,2,737505
15,2,632114
16,2,605965
17,2,609230
18,2,677627
19,2,2773202
20,2,859932
21,2,942031
22,2,1786649
23,2,1042709
24,2,943015
25,2,700888
1,3,2647978
2,3,653417
3,3,705126
4,3,776682
5,3,677172
6,3,716434
7,3,847262
8,3,1735420
9,3,3355052
10,3,2414843
11,3,2260309
12,3,1097625
13,3,1055123
14,3,906585
15,3,953881
16,3,693239
17,3,868971
18,3,607967
19,3,741445
20,3,1016089
21,3,635989
22,3,867713
23,3,668990
24,3,695646
25,3,4462064
1,4,1301164
2,4,1793156
3,4,1023056
4,4,1678797
5,4,1963183
6,4,686535
7,4,621584
8,4,1150760
9,4,973695
10,4,852644
11,4,912657
12,4,752905
13,4,761187
14,4,2727114
15,4,1629484
16,4,2229031
17,4,1087723
18,4,1714896
19,4,1729850
20,4,1656158
21,4,638399
22,4,612715
23,4,768089
24,4,858236
25,4,705869
1,5,803096
2,5,601571
3,5,594099
4,5,743717
5,5,686589
6,5,658584
7,5,721431
8,5,881691
9,5,1282671
10,5,1629856
11,5,1206912
12,5,1967343
13,5,1189140
14,5,959066
15,5,779676
16,5,949677
17,5,738765
18,5,707696
19,5,2299340
20,5,1070057
21,5,988938
22,5,1931283
23,5,1274755
24,5,4551819
25,5,1301727
1,6,849499
2,6,878067
3,6,889219
4,6,3975500
5,6,2919777
6,6,1193549
7,6,1179611
8,6,6007902
9,6,850744
10,6,918666
11,6,2587893
12,6,2127262
13,6,5736541
14,6,1305401
15,6,1028506
16,6,1126829
17,6,783712
18,6,756678
19,6,694610
20,6,984333
21,6,755898
22,6,593057
23,6,705257
24,6,752512
25,6,619360
1,7,652684
2,7,699785
3,7,651149
4,7,893880
5,7,722080
6,7,797121
7,7,943385
8,7,1101715
9,7,1033120
10,7,1039888
11,7,1023438
12,7,1069053
13,7,2126379
14,7,735698
15,7,1011560
16,7,907448
17,7,735597
18,7,1597948
19,7,830013
20,7,757228
21,7,823888
22,7,4097591
23,7,1049608
24,7,1099846
25,7,1525064
1,8,1866349
2,8,865813
3,8,883349
4,8,717048
5,8,1359089
6,8,899837
7,8,867064
8,8,834110
9,8,905550
10,8,829129
11,8,728686
12,8,725092
13,8,2344142
14,8,1291786
15,8,2743913
16,8,3651321
17,8,2143259
18,8,1088162
19,8,1101312
20,8,796119
21,8,770526
22,8,783993
23,8,2989276
24,8,1298850
25,8,2282880
1,9,1432628
2,9,1165542
3,9,1174681
4,9,1647531
5,9,964029
6,9,995887
7,9,943527
8,9,921307
9,9,796299
10,9,825077
11,9,906749
12,9,669012
13,9,738993
14,9,662930
15,9,706402
16,9,927253
17,9,751634
18,9,751962
19,9,3489025
20,9,1737178
21,9,4213287
22,9,928239
23,9,1149194
24,9,1713937
25,9,2032042
1,10,2198173
2,10,1789666
3,10,1948098
4,10,4022782
5,10,2585293
6,10,2124569
7,10,1934651
8,10,2605320
9,10,4630192
10,10,1561127
11,10,1125411
12,10,1054936
13,10,2232614
14,10,1312459
15,10,1163087
16,10,1950460
17,10,2119262
18,10,1276960
19,10,1873098
20,10,1846724
21,10,931343
22,10,805526
23,10,876631
24,10,2977116
25,10,1656526
